scenario,case_id,sensor,time,pressure
baseline,baseline,n26,86400,41.00365447998047
baseline,baseline,n105,86400,50.71819305419922
baseline,baseline,n115,86400,51.04075622558594
baseline,baseline,n143,86400,53.75737380981445
baseline,baseline,n229,86400,52.8758430480957
baseline,baseline,n251,86400,53.27546691894531
baseline,baseline,n282,86400,44.22124481201172
baseline,baseline,n655,86400,49.84782028198242
baseline,baseline,n693,86400,40.504547119140625
baseline,baseline,n755,86400,49.57373809814453
baseline,baseline,n759,86400,51.63910675048828
baseline,baseline,n760,86400,52.43817138671875
baseline,baseline,n26,86400,41.00365447998047
baseline,baseline,n105,86400,50.71819305419922
baseline,baseline,n115,86400,51.04075622558594
baseline,baseline,n143,86400,53.75737380981445
baseline,baseline,n229,86400,52.8758430480957
baseline,baseline,n251,86400,53.27546691894531
baseline,baseline,n282,86400,44.22124481201172
baseline,baseline,n655,86400,49.84782028198242
baseline,baseline,n693,86400,40.504547119140625
baseline,baseline,n755,86400,49.57373809814453
baseline,baseline,n759,86400,51.63910675048828
baseline,baseline,n760,86400,52.43817138671875
baseline,baseline,n26,86400,41.00365447998047
baseline,baseline,n105,86400,50.71819305419922
baseline,baseline,n115,86400,51.04075622558594
baseline,baseline,n143,86400,53.75737380981445
baseline,baseline,n229,86400,52.8758430480957
baseline,baseline,n251,86400,53.27546691894531
baseline,baseline,n282,86400,44.22124481201172
baseline,baseline,n655,86400,49.84782028198242
baseline,baseline,n693,86400,40.504547119140625
baseline,baseline,n755,86400,49.57373809814453
baseline,baseline,n759,86400,51.63910675048828
baseline,baseline,n760,86400,52.43817138671875
baseline,baseline,n26,86400,41.00365447998047
baseline,baseline,n105,86400,50.71819305419922
baseline,baseline,n115,86400,51.04075622558594
baseline,baseline,n143,86400,53.75737380981445
baseline,baseline,n229,86400,52.8758430480957
baseline,baseline,n251,86400,53.27546691894531
baseline,baseline,n282,86400,44.22124481201172
baseline,baseline,n655,86400,49.84782028198242
baseline,baseline,n693,86400,40.504547119140625
baseline,baseline,n755,86400,49.57373809814453
baseline,baseline,n759,86400,51.63910675048828
baseline,baseline,n760,86400,52.43817138671875
baseline,baseline,n26,86400,41.00365447998047
baseline,baseline,n105,86400,50.71819305419922
baseline,baseline,n115,86400,51.04075622558594
baseline,baseline,n143,86400,53.75737380981445
baseline,baseline,n229,86400,52.8758430480957
baseline,baseline,n251,86400,53.27546691894531
baseline,baseline,n282,86400,44.22124481201172
baseline,baseline,n655,86400,49.84782028198242
baseline,baseline,n693,86400,40.504547119140625
baseline,baseline,n755,86400,49.57373809814453
baseline,baseline,n759,86400,51.63910675048828
baseline,baseline,n760,86400,52.43817138671875
baseline,baseline,n26,86400,41.00365447998047
baseline,baseline,n105,86400,50.71819305419922
baseline,baseline,n115,86400,51.04075622558594
baseline,baseline,n143,86400,53.75737380981445
baseline,baseline,n229,86400,52.8758430480957
baseline,baseline,n251,86400,53.27546691894531
baseline,baseline,n282,86400,44.22124481201172
baseline,baseline,n655,86400,49.84782028198242
baseline,baseline,n693,86400,40.504547119140625
baseline,baseline,n755,86400,49.57373809814453
baseline,baseline,n759,86400,51.63910675048828
baseline,baseline,n760,86400,52.43817138671875
baseline,baseline,n26,86400,41.00365447998047
baseline,baseline,n105,86400,50.71819305419922
baseline,baseline,n115,86400,51.04075622558594
baseline,baseline,n143,86400,53.75737380981445
baseline,baseline,n229,86400,52.8758430480957
baseline,baseline,n251,86400,53.27546691894531
baseline,baseline,n282,86400,44.22124481201172
baseline,baseline,n655,86400,49.84782028198242
baseline,baseline,n693,86400,40.504547119140625
baseline,baseline,n755,86400,49.57373809814453
baseline,baseline,n759,86400,51.63910675048828
baseline,baseline,n760,86400,52.43817138671875
baseline,baseline,n26,86400,41.00365447998047
baseline,baseline,n105,86400,50.71819305419922
baseline,baseline,n115,86400,51.04075622558594
baseline,baseline,n143,86400,53.75737380981445
baseline,baseline,n229,86400,52.8758430480957
baseline,baseline,n251,86400,53.27546691894531
baseline,baseline,n282,86400,44.22124481201172
baseline,baseline,n655,86400,49.84782028198242
baseline,baseline,n693,86400,40.504547119140625
baseline,baseline,n755,86400,49.57373809814453
baseline,baseline,n759,86400,51.63910675048828
baseline,baseline,n760,86400,52.43817138671875
baseline,baseline,n26,86400,41.00365447998047
baseline,baseline,n105,86400,50.71819305419922
baseline,baseline,n115,86400,51.04075622558594
baseline,baseline,n143,86400,53.75737380981445
baseline,baseline,n229,86400,52.8758430480957
baseline,baseline,n251,86400,53.27546691894531
baseline,baseline,n282,86400,44.22124481201172
baseline,baseline,n655,86400,49.84782028198242
baseline,baseline,n693,86400,40.504547119140625
baseline,baseline,n755,86400,49.57373809814453
baseline,baseline,n759,86400,51.63910675048828
baseline,baseline,n760,86400,52.43817138671875
baseline,baseline,n26,86400,41.00365447998047
baseline,baseline,n105,86400,50.71819305419922
baseline,baseline,n115,86400,51.04075622558594
baseline,baseline,n143,86400,53.75737380981445
baseline,baseline,n229,86400,52.8758430480957
